TIME STAMP,PROCESS,GRAPHICS API,FPS,AVG FRAME TIME,99th% FPS,MICRO STUTTER,HEAVY STUTTER RATE,FRAME GEN LAG
2025-08-08 11:18:46.151,MafiaTheOldCountry.exe,DX12,52.823,18.931,31.073,19.565,5.237,N/A
2025-08-08 11:18:46.413,MafiaTheOldCountry.exe,DX12,52.823,18.931,31.073,19.565,5.237,N/A
2025-08-08 11:18:46.660,MafiaTheOldCountry.exe,DX12,52.627,19.002,31.073,19.565,5.362,N/A
2025-08-08 11:18:46.971,MafiaTheOldCountry.exe,DX12,49.127,20.355,31.073,18.000,5.625,N/A
2025-08-08 11:18:47.175,MafiaTheOldCountry.exe,DX12,49.127,20.355,31.073,18.000,5.625,N/A
2025-08-08 11:18:47.441,MafiaTheOldCountry.exe,DX12,49.127,20.355,31.073,18.000,5.625,N/A
2025-08-08 11:18:47.706,MafiaTheOldCountry.exe,DX12,49.127,20.355,31.073,18.000,5.625,N/A
2025-08-08 11:18:47.968,MafiaTheOldCountry.exe,DX12,52.009,19.227,34.816,7.143,5.479,N/A
2025-08-08 11:18:48.195,MafiaTheOldCountry.exe,DX12,52.009,19.227,34.816,7.143,5.479,N/A
2025-08-08 11:18:48.447,MafiaTheOldCountry.exe,DX12,52.009,19.227,34.816,7.143,5.479,N/A
2025-08-08 11:18:48.712,MafiaTheOldCountry.exe,DX12,52.009,19.227,34.816,7.143,5.479,N/A
2025-08-08 11:18:48.965,MafiaTheOldCountry.exe,DX12,52.276,19.129,35.607,3.922,5.500,N/A
2025-08-08 11:18:49.211,MafiaTheOldCountry.exe,DX12,52.276,19.129,35.607,3.922,5.500,N/A
2025-08-08 11:18:49.474,MafiaTheOldCountry.exe,DX12,52.276,19.129,35.607,3.922,5.500,N/A
2025-08-08 11:18:49.739,MafiaTheOldCountry.exe,DX12,51.603,19.379,35.701,13.725,5.368,N/A
2025-08-08 11:18:49.987,MafiaTheOldCountry.exe,DX12,51.603,19.379,35.701,13.725,5.368,N/A
2025-08-08 11:18:50.236,MafiaTheOldCountry.exe,DX12,51.603,19.379,35.701,13.725,5.368,N/A
2025-08-08 11:18:50.503,MafiaTheOldCountry.exe,DX12,51.603,19.379,35.701,13.725,5.368,N/A
2025-08-08 11:18:50.767,MafiaTheOldCountry.exe,DX12,51.603,19.379,35.701,13.725,5.368,N/A
2025-08-08 11:18:51.012,MafiaTheOldCountry.exe,DX12,44.653,22.395,27.583,20.000,5.711,N/A
2025-08-08 11:18:51.258,MafiaTheOldCountry.exe,DX12,44.653,22.395,27.583,20.000,5.711,N/A
2025-08-08 11:18:51.521,MafiaTheOldCountry.exe,DX12,44.653,22.395,27.583,20.000,5.711,N/A
2025-08-08 11:18:51.783,MafiaTheOldCountry.exe,DX12,44.653,22.395,27.583,20.000,5.711,N/A
2025-08-08 11:18:52.033,MafiaTheOldCountry.exe,DX12,44.832,22.306,27.583,5.660,5.190,N/A
2025-08-08 11:18:52.297,MafiaTheOldCountry.exe,DX12,44.832,22.306,27.583,5.660,5.190,N/A
2025-08-08 11:18:52.562,MafiaTheOldCountry.exe,DX12,44.832,22.306,27.583,5.660,5.190,N/A
2025-08-08 11:18:52.823,MafiaTheOldCountry.exe,DX12,45.742,21.862,34.359,11.538,5.203,N/A
2025-08-08 11:18:53.087,MafiaTheOldCountry.exe,DX12,45.742,21.862,34.359,11.538,5.203,N/A
